"id","note","name","code","rule_ids/id"
"hr_payroll.structure_base","","Base for new structures","BASE","hr_payroll.hr_rule_basic,hr_payroll.hr_rule_taxable,hr_payroll.hr_rule_net"
"__export__.hr_payroll_structure_54_657ed119","","Ordinaria Quincenal","ORDQ","__export__.hr_salary_rule_300_10e13f2f,__export__.hr_salary_rule_298_a1ef148b,__export__.hr_salary_rule_182_8ebcd470,__export__.hr_salary_rule_219_73008d2c,__export__.hr_salary_rule_626,__export__.hr_salary_rule_218_425e2a23,__export__.hr_salary_rule_192_2bff710f,__export__.hr_salary_rule_194_d2ea3bcc,__export__.hr_salary_rule_624,__export__.hr_salary_rule_193_3f9725ab,__export__.hr_salary_rule_195_fafa384e,__export__.hr_salary_rule_625,__export__.hr_salary_rule_190_bc0b85aa,__export__.hr_salary_rule_191_e9d15494,__export__.hr_salary_rule_197_f64ea9e5,__export__.hr_salary_rule_196_a17ebdba,__export__.hr_salary_rule_183_3a2caedc,__export__.hr_salary_rule_188_802f2800,__export__.hr_salary_rule_189_4e1017bc,__export__.hr_salary_rule_302_2fbfb1a4,__export__.hr_salary_rule_303_2e625dda,__export__.hr_salary_rule_1085_38cac23d,__export__.hr_salary_rule_1091_33bc0404,__export__.hr_salary_rule_1086_0bbe0f70,__export__.hr_salary_rule_315_22fc6cd6,__export__.hr_salary_rule_9,__export__.hr_salary_rule_139_6b02665e,__export__.hr_salary_rule_372_05b6bc3c,__export__.hr_salary_rule_131_246ebffd,__export__.hr_salary_rule_83_1a3f51f8,__export__.hr_salary_rule_183_0e63481e,__export__.hr_salary_rule_373_705a4fee,__export__.hr_salary_rule_10,__export__.hr_salary_rule_90_12f632dc,__export__.hr_salary_rule_19,__export__.hr_salary_rule_91_a7667348,__export__.hr_salary_rule_133_e4e4cdb2,__export__.hr_salary_rule_16,__export__.hr_salary_rule_32,__export__.hr_salary_rule_33,__export__.hr_salary_rule_376_9f0b8438,__export__.hr_salary_rule_31,__export__.hr_salary_rule_377_65184cab,__export__.hr_salary_rule_199_dad2f71a,__export__.hr_salary_rule_378_cb65429a,__export__.hr_salary_rule_379_21289af2,__export__.hr_salary_rule_380_950c9b5d,__export__.hr_salary_rule_381_25724f62,__export__.hr_salary_rule_382_3ed19afc,__export__.hr_salary_rule_383_2ed3a24a,__export__.hr_salary_rule_64_51ca39bc,__export__.hr_salary_rule_178_3964d4db,__export__.hr_salary_rule_181_17fd119b,__export__.hr_salary_rule_384_90e5fbcb,__export__.hr_salary_rule_385_364c9e80,__export__.hr_salary_rule_386_25e7b446,__export__.hr_salary_rule_387_01a64d90,__export__.hr_salary_rule_388_552b712c,__export__.hr_salary_rule_86_d3335d9c,__export__.hr_salary_rule_87_ca7560d9,__export__.hr_salary_rule_307_a7c34c4e,__export__.hr_salary_rule_170_50c18641,__export__.hr_salary_rule_148_c0efbcdb,__export__.hr_salary_rule_82_5c61b487,__export__.hr_salary_rule_184_7f7908a8,__export__.hr_salary_rule_75_eae34899,__export__.hr_salary_rule_137_80af394c,__export__.hr_salary_rule_81_bbaef598,__export__.hr_salary_rule_135_e8669594,__export__.hr_salary_rule_136_a55f5e51,__export__.hr_salary_rule_147_06d1d785,__export__.hr_salary_rule_171_fb81c220,__export__.hr_salary_rule_38,__export__.hr_salary_rule_37,__export__.hr_salary_rule_34,__export__.hr_salary_rule_14,__export__.hr_salary_rule_161_dd02c746,__export__.hr_salary_rule_309_b2a9c05e,__export__.hr_salary_rule_1080_bb00413c,__export__.hr_salary_rule_424_58b41c82,__export__.hr_salary_rule_35,__export__.hr_salary_rule_21,__export__.hr_salary_rule_78_6de34d75,__export__.hr_salary_rule_129_a57ca547,__export__.hr_salary_rule_85_c6da0ae1,__export__.hr_salary_rule_221_990e74d2,__export__.hr_salary_rule_421_960e7e35,__export__.hr_salary_rule_425_069d5dfa,__export__.hr_salary_rule_423_5d072534,__export__.hr_salary_rule_22,__export__.hr_salary_rule_389_b40ffe2c,__export__.hr_salary_rule_396_d9c8ba87,__export__.hr_salary_rule_397_d8ea0ab4,__export__.hr_salary_rule_398_d8de0103,__export__.hr_salary_rule_399_83c49c88,__export__.hr_salary_rule_74_bb15e36b,__export__.hr_salary_rule_172_ec7b98be,__export__.hr_salary_rule_400_ff01dab2,__export__.hr_salary_rule_401_5acfc45a,__export__.hr_salary_rule_402_f197ad64,__export__.hr_salary_rule_88_269aea74,__export__.hr_salary_rule_403_1aa8c1b7,__export__.hr_salary_rule_404_058d885f,__export__.hr_salary_rule_72_d2570f37,__export__.hr_salary_rule_23,__export__.hr_salary_rule_24,__export__.hr_salary_rule_26,__export__.hr_salary_rule_69_7aa6213e,__export__.hr_salary_rule_405_dad9020a,__export__.hr_salary_rule_406_d33b72ba,__export__.hr_salary_rule_407_1666ebe0,__export__.hr_salary_rule_408_54e0c0ab,__export__.hr_salary_rule_306_96dfc4a4,nomina_cfdi_extras_ee.dev_emp_loan_installment,dev_hr_loan.dev_emp_loan_interest_installment,__export__.hr_salary_rule_392_049ef61b,__export__.hr_salary_rule_394_adcdd8fc,__export__.hr_salary_rule_393_662f5ad4,__export__.hr_salary_rule_395_21198531,__export__.hr_salary_rule_169_7a01a0e2,__export__.hr_salary_rule_124_36212b01,__export__.hr_salary_rule_36,__export__.hr_salary_rule_184_61367129,__export__.hr_salary_rule_371_0f0734af"
"__export__.hr_payroll_structure_55_26b9dab3","","Ordinaria Semanal","ORDS","__export__.hr_salary_rule_300_10e13f2f,__export__.hr_salary_rule_298_a1ef148b,__export__.hr_salary_rule_182_8ebcd470,__export__.hr_salary_rule_219_73008d2c,__export__.hr_salary_rule_626,__export__.hr_salary_rule_218_425e2a23,__export__.hr_salary_rule_192_2bff710f,__export__.hr_salary_rule_194_d2ea3bcc,__export__.hr_salary_rule_624,__export__.hr_salary_rule_193_3f9725ab,__export__.hr_salary_rule_195_fafa384e,__export__.hr_salary_rule_625,__export__.hr_salary_rule_190_bc0b85aa,__export__.hr_salary_rule_191_e9d15494,__export__.hr_salary_rule_197_f64ea9e5,__export__.hr_salary_rule_196_a17ebdba,__export__.hr_salary_rule_183_3a2caedc,__export__.hr_salary_rule_188_802f2800,__export__.hr_salary_rule_189_4e1017bc,__export__.hr_salary_rule_302_2fbfb1a4,__export__.hr_salary_rule_303_2e625dda,__export__.hr_salary_rule_1085_38cac23d,__export__.hr_salary_rule_315_22fc6cd6,__export__.hr_salary_rule_9,__export__.hr_salary_rule_372_05b6bc3c,__export__.hr_salary_rule_131_246ebffd,__export__.hr_salary_rule_83_1a3f51f8,__export__.hr_salary_rule_183_0e63481e,__export__.hr_salary_rule_373_705a4fee,__export__.hr_salary_rule_10,__export__.hr_salary_rule_90_12f632dc,__export__.hr_salary_rule_19,__export__.hr_salary_rule_91_a7667348,__export__.hr_salary_rule_133_e4e4cdb2,__export__.hr_salary_rule_16,__export__.hr_salary_rule_32,__export__.hr_salary_rule_33,__export__.hr_salary_rule_376_9f0b8438,__export__.hr_salary_rule_31,__export__.hr_salary_rule_377_65184cab,__export__.hr_salary_rule_199_dad2f71a,__export__.hr_salary_rule_378_cb65429a,__export__.hr_salary_rule_379_21289af2,__export__.hr_salary_rule_380_950c9b5d,__export__.hr_salary_rule_381_25724f62,__export__.hr_salary_rule_382_3ed19afc,__export__.hr_salary_rule_383_2ed3a24a,__export__.hr_salary_rule_64_51ca39bc,__export__.hr_salary_rule_178_3964d4db,__export__.hr_salary_rule_181_17fd119b,__export__.hr_salary_rule_384_90e5fbcb,__export__.hr_salary_rule_385_364c9e80,__export__.hr_salary_rule_386_25e7b446,__export__.hr_salary_rule_387_01a64d90,__export__.hr_salary_rule_388_552b712c,__export__.hr_salary_rule_86_d3335d9c,__export__.hr_salary_rule_87_ca7560d9,__export__.hr_salary_rule_307_a7c34c4e,__export__.hr_salary_rule_170_50c18641,__export__.hr_salary_rule_148_c0efbcdb,__export__.hr_salary_rule_82_5c61b487,__export__.hr_salary_rule_184_7f7908a8,__export__.hr_salary_rule_75_eae34899,__export__.hr_salary_rule_137_80af394c,__export__.hr_salary_rule_81_bbaef598,__export__.hr_salary_rule_135_e8669594,__export__.hr_salary_rule_136_a55f5e51,__export__.hr_salary_rule_147_06d1d785,__export__.hr_salary_rule_171_fb81c220,__export__.hr_salary_rule_38,__export__.hr_salary_rule_37,__export__.hr_salary_rule_34,__export__.hr_salary_rule_14,__export__.hr_salary_rule_161_dd02c746,__export__.hr_salary_rule_309_b2a9c05e,__export__.hr_salary_rule_1080_bb00413c,__export__.hr_salary_rule_424_58b41c82,__export__.hr_salary_rule_35,__export__.hr_salary_rule_21,__export__.hr_salary_rule_78_6de34d75,__export__.hr_salary_rule_129_a57ca547,__export__.hr_salary_rule_85_c6da0ae1,__export__.hr_salary_rule_221_990e74d2,__export__.hr_salary_rule_421_960e7e35,__export__.hr_salary_rule_425_069d5dfa,__export__.hr_salary_rule_423_5d072534,__export__.hr_salary_rule_22,__export__.hr_salary_rule_389_b40ffe2c,__export__.hr_salary_rule_396_d9c8ba87,__export__.hr_salary_rule_397_d8ea0ab4,__export__.hr_salary_rule_398_d8de0103,__export__.hr_salary_rule_399_83c49c88,__export__.hr_salary_rule_74_bb15e36b,__export__.hr_salary_rule_172_ec7b98be,__export__.hr_salary_rule_400_ff01dab2,__export__.hr_salary_rule_401_5acfc45a,__export__.hr_salary_rule_402_f197ad64,__export__.hr_salary_rule_88_269aea74,__export__.hr_salary_rule_403_1aa8c1b7,__export__.hr_salary_rule_404_058d885f,__export__.hr_salary_rule_72_d2570f37,__export__.hr_salary_rule_23,__export__.hr_salary_rule_24,__export__.hr_salary_rule_26,__export__.hr_salary_rule_69_7aa6213e,__export__.hr_salary_rule_405_dad9020a,__export__.hr_salary_rule_406_d33b72ba,__export__.hr_salary_rule_407_1666ebe0,__export__.hr_salary_rule_408_54e0c0ab,__export__.hr_salary_rule_306_96dfc4a4,nomina_cfdi_extras_ee.dev_emp_loan_installment,dev_hr_loan.dev_emp_loan_interest_installment,__export__.hr_salary_rule_392_049ef61b,__export__.hr_salary_rule_394_adcdd8fc,__export__.hr_salary_rule_393_662f5ad4,__export__.hr_salary_rule_395_21198531,__export__.hr_salary_rule_124_36212b01,__export__.hr_salary_rule_36,__export__.hr_salary_rule_184_61367129,__export__.hr_salary_rule_371_0f0734af"
"__export__.hr_payroll_structure_56_b1470fae","","Asimilado","Asimilado","__export__.hr_salary_rule_192_2bff710f,__export__.hr_salary_rule_193_3f9725ab,__export__.hr_salary_rule_315_22fc6cd6,__export__.hr_salary_rule_10,__export__.hr_salary_rule_19,__export__.hr_salary_rule_38,__export__.hr_salary_rule_37,__export__.hr_salary_rule_34,__export__.hr_salary_rule_35,__export__.hr_salary_rule_310_92c8a236,__export__.hr_salary_rule_36,__export__.hr_salary_rule_184_61367129,__export__.hr_salary_rule_371_0f0734af"
"__export__.hr_payroll_structure_57_3dfb5b2a","","Aguinaldo","Aguinaldo","__export__.hr_salary_rule_219_73008d2c,__export__.hr_salary_rule_218_425e2a23,__export__.hr_salary_rule_83_1a3f51f8,__export__.hr_salary_rule_38,__export__.hr_salary_rule_37,__export__.hr_salary_rule_34,__export__.hr_salary_rule_312_0d4666db,__export__.hr_salary_rule_35,__export__.hr_salary_rule_130_726c5cb3,__export__.hr_salary_rule_74_bb15e36b,__export__.hr_salary_rule_36,__export__.hr_salary_rule_184_61367129,__export__.hr_salary_rule_371_0f0734af"
"__export__.hr_payroll_structure_58_67ba967f","","Reparto de utilidades","PTU","__export__.hr_salary_rule_313_cf74a2d6,__export__.hr_salary_rule_314_a0dd8356,__export__.hr_salary_rule_20,__export__.hr_salary_rule_38,__export__.hr_salary_rule_37,__export__.hr_salary_rule_34,__export__.hr_salary_rule_154_945257be,__export__.hr_salary_rule_35,__export__.hr_salary_rule_153_6ad95f1b,__export__.hr_salary_rule_74_bb15e36b,__export__.hr_salary_rule_36,__export__.hr_salary_rule_184_61367129,__export__.hr_salary_rule_371_0f0734af"
"__export__.hr_payroll_structure_59_4df7c6d0","","Liquidación - indemnizacion/finiquito","Liquidación - indemnizacion/finiquito","__export__.hr_salary_rule_17,__export__.hr_salary_rule_212_54b36a45,__export__.hr_salary_rule_18,__export__.hr_salary_rule_216_9bcae126,__export__.hr_salary_rule_138_4e8fdd73,__export__.hr_salary_rule_214_ac3e9608,__export__.hr_salary_rule_213_7db74dd8,__export__.hr_salary_rule_217_61f36af9,__export__.hr_salary_rule_215_d6327333,__export__.hr_salary_rule_38,__export__.hr_salary_rule_37,__export__.hr_salary_rule_34,__export__.hr_salary_rule_35,__export__.hr_salary_rule_220_f4cb664e,__export__.hr_salary_rule_408_54e0c0ab,__export__.hr_salary_rule_36,__export__.hr_salary_rule_184_61367129,__export__.hr_salary_rule_371_0f0734af"
"__export__.hr_payroll_structure_60_1e91737f","","Entrega Viaticos","Entrega Viaticos","__export__.hr_salary_rule_38,__export__.hr_salary_rule_37,__export__.hr_salary_rule_34,__export__.hr_salary_rule_161_dd02c746,__export__.hr_salary_rule_35,__export__.hr_salary_rule_36,__export__.hr_salary_rule_184_61367129,__export__.hr_salary_rule_371_0f0734af"
"__export__.hr_payroll_structure_61_e8261ce6","","Comprobación viáticos","Comprobación viáticos","__export__.hr_salary_rule_183_3a2caedc,__export__.hr_salary_rule_181_17fd119b,__export__.hr_salary_rule_184_7f7908a8,__export__.hr_salary_rule_38,__export__.hr_salary_rule_37,__export__.hr_salary_rule_34,__export__.hr_salary_rule_35,__export__.hr_salary_rule_36,__export__.hr_salary_rule_184_61367129,__export__.hr_salary_rule_371_0f0734af"
"__export__.hr_payroll_structure_62_9fd655c3","","Pensionado","Pensionado",""
